lon,lat,degree,betweenness
12.64015,41.94037,3,126386.0
13.00162,42.01917,3,58143.0
13.0051,42.01854,3,52191.0
12.69376,41.8885,3,265382.0
12.69787,41.88839,4,277442.0
12.70329,41.88804,3,293896.0
12.7103,41.8847,3,142611.0
12.71304,41.88338,3,126879.0
12.72693,41.88612,3,118208.0
12.74453,41.88078,4,108142.0
12.79546,41.86779,2,74371.0
12.80761,41.86623,5,79108.0
12.87123,41.83839,3,74305.0
12.87715,41.83611,4,85599.0
12.88383,41.83336,3,71283.0
12.8904,41.83192,1,0.0
12.61427,41.85937,4,363506.0
12.63017,41.85848,3,367443.0
12.63418,41.85804,3,365012.0
12.65248,41.84922,3,351216.0
12.67048,41.84859,4,344252.0
12.68406,41.84614,3,324699.0
12.70528,41.84075,2,318693.0
12.74613,41.82815,4,320366.0
12.76478,41.82825,4,308799.0
12.78058,41.82406,3,320701.0
12.80311,41.81804,4,323463.0
12.80731,41.81465,3,307100.0
12.84547,41.79172,4,294041.0
12.85813,41.78304,4,292271.0
12.88356,41.77776,3,286181.0
12.88791,41.77416,3,284664.0
12.91815,41.76748,3,302814.0
12.91937,41.76568,3,292698.0
12.95166,41.74401,3,36947.0
12.91515,41.74441,4,40185.0
12.88188,41.74482,4,145772.0
12.8677,41.74762,4,149768.0
12.85025,41.75323,4,149217.0
12.84068,41.75574,4,168730.0
12.79336,41.76675,3,163109.0
12.77063,41.77016,4,164452.0
12.71737,41.79072,4,176206.0
12.68939,41.78903,3,175181.0
12.66493,41.79147,3,163148.0
12.63442,41.80403,4,175070.0
12.62268,41.81096,2,167121.0
12.62292,41.76017,4,347502.0
12.62916,41.75385,5,335305.0
12.6346,41.74886,4,395474.0
12.65557,41.72936,5,381726.0
12.65966,41.72552,3,360609.0
12.67008,41.71725,3,284121.0
12.67176,41.71406,4,284069.0
12.68444,41.70559,4,243143.0
12.70015,41.69344,4,243626.0
12.7189,41.67917,3,230031.0
12.7215,41.67713,4,237010.0
12.7257,41.67387,3,201547.0
12.74855,41.6564,4,194906.0
12.76657,41.64203,4,191032.0
12.79542,41.61978,3,184911.0
12.80648,41.61128,3,183129.0
12.82727,41.5953,6,187782.0
12.89294,41.54433,3,104812.0
12.94298,41.50546,4,107886.0
12.951,41.49946,3,102011.0
13.00081,41.4611,5,154104.0
12.65817,41.45668,4,14347.0
12.66742,41.45741,3,11429.0
12.63566,41.55305,5,95498.0
12.61922,41.72549,4,23971.0
12.61776,41.73148,3,15465.0
12.61718,41.73745,3,17500.0
12.61862,41.74206,3,84287.0
12.62309,41.74947,3,84317.0
12.62843,41.75459,1,0.0
12.61464,41.81468,4,192987.0
12.8033,41.96011,1,0.0
12.80842,41.9599,3,57602.0
13.16355,41.7248,4,274473.0
36.2323,36.40885,3,801776.0
36.18186,36.20075,3,799522.0
36.1912,36.48976,3,803156.0
36.13941,36.55732,3,806312.0
36.21442,36.67542,3,816196.0
35.37131,36.60569,3,3672.0
35.33021,36.54993,1,0.0
35.4861,36.73538,4,16359.0
35.56232,36.7377,3,7497.0
35.778,36.75785,4,5126.0
35.81704,36.90966,4,810823.0
12.47766,41.664,2,2849.0
12.47428,41.66585,3,860.0
12.44342,41.96364,3,1765048.0
12.4837,42.0395,2,18823.0
12.80491,41.96329,3,60905.0
0.13752,47.99672,8,136165.0
1.06792,48.39342,3,18688.0
1.42577,48.44746,6,54503.0
2.28497,48.81643,3,51955.0
2.10088,48.42163,3,23106.0
1.66333,48.1559,4,35888.0
1.31276,48.74801,3,25581.0
1.09843,49.02599,4,12042.0
0.67331,49.16445,3,21004.0
0.40398,49.14197,4,18717.0
0.1814,49.14049,5,10340.0
0.23854,48.84583,3,6273.0
0.10817,48.6013,4,6745.0
0.12721,48.32559,4,19837.0
1.29813,48.06562,5,3321.0
2.29854,48.867,3,59477.0
2.61136,48.54791,4,8617.0
3.16485,48.29093,3,30988.0
3.24043,48.20331,3,34290.0
4.02096,48.31149,4,35956.0
4.05537,48.32158,4,37407.0
4.37149,48.97801,3,18999.0
2.32099,48.97432,3,57924.0
1.65268,49.19937,3,26563.0
1.05138,49.44881,4,34574.0
0.98572,49.29242,3,28120.0
31.4335,36.78186,3,45853.0
31.13788,36.90931,3,53064.0
29.53165,36.8076,4,45181.0
29.38713,36.68053,3,18799.0
36.19703,36.82501,5,832673.0
35.98314,36.89836,3,808704.0
30.7172,36.87517,2,73932.0
30.70702,36.87953,3,70656.0
30.71522,37.1098,3,12442.0
30.68061,36.89774,3,30745.0
30.69399,36.88092,3,67417.0
30.0429,36.90301,3,44093.0
30.16644,36.95887,3,47504.0
34.87447,36.90378,4,62635.0
35.33756,36.9758,4,1056408.0
30.8385,36.9356,3,90084.0
35.65011,36.93353,3,997956.0
1.80685,49.71572,3,7193.0
2.25069,49.8984,5,26090.0
2.04986,49.43785,5,29381.0
2.39778,49.51194,4,19686.0
2.68663,49.63255,3,16528.0
2.56355,49.34707,3,29749.0
2.54162,49.21704,5,106820.0
3.28539,49.38644,4,110580.0
4.00002,49.27167,4,183203.0
4.12379,49.22965,3,191260.0
4.19662,49.22276,3,182772.0
4.08986,49.30865,3,10739.0
3.9831,49.28421,3,67798.0
3.78494,50.31916,7,46655.0
3.73158,50.32428,3,20754.0
3.48309,50.12303,4,12778.0
3.26522,49.98415,3,19500.0
3.213,49.95264,4,48370.0
